Las columnas son: 
Iteración 	Energía Potencial	Energia Cínetica	Energia Mecanica total
469 	2638732.5 	41927159.1 	44565891.6 	
470 	2645239.9 	41927235.3 	44572475.2 	
471 	2648489.7 	41941283.5 	44589773.2 	
472 	2653670.9 	41948210.6 	44601881.5 	
473 	2654919.4 	41948926.8 	44603846.3 	
474 	2651260.2 	41949635.5 	44600895.7 	
475 	2652496.8 	41939829.0 	44592325.8 	
476 	2653213.2 	41943510.6 	44596723.8 	
477 	2646225.7 	41960953.0 	44607178.7 	
478 	2623651.6 	41984137.2 	44607788.8 	
479 	2621458.0 	41961241.9 	44582699.9 	
480 	2595222.6 	44295491.3 	46890714.0 	
481 	2579953.4 	44297215.5 	46877168.9 	
482 	2567024.9 	44287872.7 	46854897.5 	
483 	2555156.9 	44273174.8 	46828331.7 	
484 	2544624.4 	44260051.3 	46804675.7 	
485 	2534011.1 	44248910.1 	46782921.1 	
486 	2530505.8 	44239502.0 	46770007.8 	
487 	2515108.0 	44254504.3 	46769612.3 	
488 	2503381.5 	44233604.3 	46736985.8 	
489 	2482828.9 	44343497.2 	46826326.1 	
490 	2471460.5 	44327620.8 	46799081.2 	
491 	2461579.7 	44317118.4 	46778698.2 	
492 	2455738.9 	44302306.1 	46758045.1 	
493 	2435993.6 	44316420.2 	46752413.8 	
494 	2421809.9 	44305419.0 	46727228.8 	
495 	2409613.1 	44295297.6 	46704910.7 	
496 	2401992.0 	44284411.1 	46686403.1 	
497 	2388064.1 	44272914.0 	46660978.1 	
498 	2372468.6 	44262051.2 	46634519.8 	
499 	2361998.4 	44246589.3 	46608587.7 	
500 	2347441.1 	44237519.8 	46584960.9 	
501 	2338966.7 	44221835.2 	46560801.8 	
502 	2323123.3 	44221109.6 	46544233.0 	
503 	2307856.5 	44207070.9 	46514927.5 	
504 	2293642.1 	44190642.5 	46484284.6 	
505 	2282110.8 	44175908.5 	46458019.3 	
506 	2267438.7 	44164015.3 	46431454.0 	
507 	2252602.7 	44150880.1 	46403482.8 	
508 	2247385.1 	44137072.9 	46384457.9 	
509 	2230135.4 	44213642.3 	46443777.7 	
510 	2208950.6 	44292618.3 	46501568.8 	
511 	2195084.0 	44276816.8 	46471900.8 	
512 	2180594.3 	44262817.7 	46443412.0 	
513 	2165374.3 	44245463.5 	46410837.8 	
514 	2156603.2 	44230346.1 	46386949.3 	
515 	2138820.8 	44263792.7 	46402613.4 	
516 	2127757.3 	44252644.5 	46380401.8 	
517 	2116896.4 	44240902.3 	46357798.6 	
518 	2107994.5 	44229461.5 	46337456.0 	
519 	2090126.3 	44216890.5 	46307016.8 	
520 	2073910.4 	44199037.7 	46272948.1 	
521 	2058075.1 	44179478.9 	46237554.0 	
522 	2045632.8 	44164165.7 	46209798.5 	
523 	2027837.1 	44156868.3 	46184705.4 	
524 	2014615.3 	44141949.9 	46156565.2 	
525 	2003647.8 	44128608.3 	46132256.1 	
526 	1991797.0 	44120551.2 	46112348.2 	
527 	1976762.2 	44119202.6 	46095964.8 	
528 	1966120.5 	44106760.9 	46072881.4 	
529 	1951738.2 	44098719.4 	46050457.6 	
530 	1938966.5 	44084958.7 	46023925.2 	
531 	1926075.2 	44071110.5 	45997185.7 	
532 	1914582.5 	44057758.6 	45972341.1 	
533 	1906215.4 	44046748.4 	45952963.7 	
534 	1892577.6 	44040458.5 	45933036.1 	
535 	1880496.1 	44027910.1 	45908406.2 	
536 	1868937.8 	44014803.7 	45883741.5 	
537 	1858472.6 	44003606.2 	45862078.7 	
538 	1845706.5 	43989905.0 	45835611.5 	
539 	1832953.5 	43974905.6 	45807859.1 	
540 	1821368.3 	43961657.4 	45783025.6 	
541 	1812770.8 	43949840.1 	45762610.9 	
542 	1797725.8 	43951705.0 	45749430.8 	
543 	1787025.3 	43939567.5 	45726592.8 	
544 	1775594.8 	43927841.0 	45703435.8 	
545 	1764503.3 	43915833.5 	45680336.8 	
546 	1753784.6 	43903976.7 	45657761.3 	
547 	1743727.4 	43893268.1 	45636995.5 	
548 	1733464.6 	43881483.1 	45614947.8 	
549 	1727673.7 	43870818.2 	45598491.9 	
550 	1711998.8 	43928356.0 	45640354.9 	
551 	1702870.8 	43918533.0 	45621403.8 	
552 	1692327.3 	43906630.3 	45598957.5 	
553 	1682781.4 	43896115.4 	45578896.8 	
554 	1673532.8 	43886149.2 	45559682.0 	
